taxon_name,dispersal
Polymeria calycina,anemochory epizoochory hydrochory
Polyscias sambucifolia,endozoochory
Polyscias sambucifolia,zoochory
Polyscias sambucifolia,endozoochory
Polyscias sambucifolia,zoochory
Polyscias sambucifolia,epizoochory
Polyscias sambucifolia,endozoochory
Pomaderris ferruginea,myrmecochory
Pomaderris ferruginea,zoochory
Poranthera microphylla,undefined
Poranthera microphylla,ballistic myrmecochory
Poranthera microphylla,ballistic myrmecochory
Poranthera microphylla,barochory
Poranthera microphylla,barochory
Poranthera microphylla,undefined
Poranthera microphylla,ballistic myrmecochory
Poranthera microphylla,zoochory
Poranthera microphylla,zoochory
Poranthera microphylla,myrmecochory
Portulaca oleracea,barochory
Portulaca oleracea,barochory
Portulaca oleracea,epizoochory
Portulaca oleracea,barochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pseudognaphalium luteoalbum,anemochory
Pteridium esculentum,barochory
Pteridium esculentum,barochory
Pteridium esculentum,anemochory
Pteridium esculentum,anemochory
Pteridium esculentum,anemochory
Pterostylis nutans,barochory
Pterostylis nutans,anemochory
Pterostylis nutans,anemochory
Pterostylis nutans,anemochory
Pultenaea villosa,myrmecochory
Rubus parvifolius,endozoochory
Rubus parvifolius,endozoochory
Rubus parvifolius,zoochory
Rubus parvifolius,endozoochory
Rubus parvifolius,epizoochory
Rubus parvifolius,endozoochory
Rubus parvifolius,endozoochory
Rumex brownii,epizoochory
Rumex brownii,epizoochory
Rumex brownii,epizoochory myrmecochory
Rumex brownii,epizoochory
Rumex brownii,epizoochory
Rumex brownii,epizoochory
Rytidosperma fulvum,epizoochory
Rytidosperma fulvum,epizoochory
Rytidosperma fulvum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma setaceum,epizoochory
Rytidosperma tenuius,epizoochory myrmecochory
Rytidosperma tenuius,epizoochory
Rytidosperma tenuius,epizoochory
Rytidosperma tenuius,epizoochory
Sarcopetalum harveyanum,endozoochory
Sarcopetalum harveyanum,endozoochory
Sarcopetalum harveyanum,endozoochory
Sarcopetalum harveyanum,zoochory
Sarcopetalum harveyanum,endozoochory
Sarcopetalum harveyanum,endozoochory
Scaevola albida,endozoochory
Scaevola albida,endozoochory
Scaevola albida,epizoochory
Scaevola albida,barochory
Schoenus apogon,zoochory
Schoenus apogon,undefined
Schoenus apogon,zoochory
Schoenus apogon,zoochory
Schoenus apogon,barochory
Senecio hispidulus,anemochory
Senecio hispidulus,anemochory
Senecio hispidulus,anemochory
Senecio hispidulus,anemochory
Senecio hispidulus,anemochory
Senecio hispidulus,anemochory
Solenogyne bellioides,anemochory
Solenogyne bellioides,zoochory
Stackhousia muricata,zoochory
Themeda triandra,zoochory
Themeda triandra,epizoochory
Themeda triandra,epizoochory
Themeda triandra,anemochory
Themeda triandra,epizoochory
Themeda triandra,epizoochory myrmecochory
Themeda triandra,anemochory
Themeda triandra,epizoochory
Themeda triandra,epizoochory
Themeda triandra,epizoochory
Thysanotus tuberosus,undefined
Thysanotus tuberosus,myrmecochory
Thysanotus tuberosus,myrmecochory
Thysanotus tuberosus,barochory
Triglochin striata,undefined
Triglochin striata,hydrochory
Triglochin striata,hydrochory
Triglochin striata,hydrochory
Triglochin striata,hydrochory
Triglochin striata,barochory
Triptilodiscus pygmaeus,anemochory
Triptilodiscus pygmaeus,anemochory
Triptilodiscus pygmaeus,anemochory
Triptilodiscus pygmaeus,anemochory
Triptilodiscus pygmaeus,epizoochory
Triptilodiscus pygmaeus,epizoochory
Triptilodiscus pygmaeus,epizoochory
Triptilodiscus pygmaeus,anemochory
Typha orientalis,anemochory
Typha orientalis,anemochory
Veronica plebeia,barochory
Veronica plebeia,barochory
Veronica plebeia,barochory
Vincetoxicum barbatum,anemochory
Vincetoxicum barbatum,anemochory
Vincetoxicum barbatum,anemochory
Vincetoxicum barbatum,anemochory
Vincetoxicum barbatum,anemochory
Vittadinia cuneata,anemochory
Vittadinia cuneata,anemochory
Vittadinia cuneata,anemochory
Vittadinia cuneata,anemochory
Vittadinia cuneata,anemochory
Vittadinia cuneata,anemochory
Wahlenbergia gracilis,anemochory
Wahlenbergia gracilis,zoochory
Wahlenbergia gracilis,anemochory
Xanthorrhoea minor,barochory
Zieria smithii,ballistic myrmecochory
Zieria smithii,ballistic myrmecochory
Zieria smithii,ballistic
Zieria smithii,zoochory
Zieria smithii,zoochory
Zieria smithii,zoochory
Zornia dyctiocarpa,epizoochory
