taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Glycine microphylla,Glycine microphylla (Benth.) Tindale,Glycine,Fabaceae,0.3,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister
Glycine tabacina,Glycine tabacina (Labill.) Benth.,Glycine,Fabaceae,0.3,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister
Gompholobium glabratum,Gompholobium glabratum DC.,Gompholobium,Fabaceae,0.4,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct
Gonocarpus tetragynus,Gonocarpus tetragynus Labill.,Gonocarpus,Haloragaceae,0.3,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Goodenia bellidifolia,Goodenia bellidifolia Sm.,Goodenia,Goodeniaceae,0.6,myrmecochory,herb,perennial,c3,resprouting_possible,no,extinct
Goodenia hederacea,Goodenia hederacea Sm.,Goodenia,Goodeniaceae,0.8,zoochory,herb,perennial,c3,resprouting_possible,no,persister
Goodenia ovata,Goodenia ovata Sm.,Goodenia,Goodeniaceae,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct
Goodenia paniculata,Goodenia paniculata Sm.,Goodenia,Goodeniaceae,0.5,zoochory,herb,perennial,c3,resprouting_possible,yes,persister
Gratiola pedunculata,Gratiola pedunculata R.Br.,Gratiola,Plantaginaceae,0.5,epizoochory,herb,perennial,c3,resprouting_possible,yes,persister
Hakea sericea,Hakea sericea Schrad. & J.C.Wendl.,Hakea,Proteaceae,4,anemochory,tree,perennial,c3,fire_killed,no,persister
Hardenbergia violacea,Hardenbergia violacea (Schneev.) Stearn,Hardenbergia,Fabaceae,2.5,myrmecochory,climber_woody,perennial,c3,resprouting_possible,no,persister
Hibbertia aspera,Hibbertia aspera DC.,Hibbertia,Dilleniaceae,2,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Hibbertia diffusa,Hibbertia diffusa R.Br. ex DC.,Hibbertia,Dilleniaceae,0.5,zoochory,shrub,perennial,c3,resprouting_possible,no,persister
Hibbertia pedunculata,Hibbertia pedunculata R.Br. ex DC.,Hibbertia,Dilleniaceae,0.4,zoochory,shrub,perennial,c3,resprouting_possible,no,persister
Homalanthus populifolius,Homalanthus populifolius Graham,Homalanthus,Euphorbiaceae,8,endozoochory,tree,perennial,c3,resprouting_possible,no,persister
Hovea longifolia,Hovea longifolia R.Br.,Hovea,Fabaceae,3,myrmecochory,shrub,perennial,c3,resprouting_possible,no,extinct
Hydrocotyle sibthorpioides,Hydrocotyle sibthorpioides Lam.,Hydrocotyle,Araliaceae,0.15,barochory,herb,perennial,c3,resprouting_possible,yes,persister
Hypericum gramineum,Hypericum gramineum G.Forst.,Hypericum,Hypericaceae,0.5,barochory,herb,perennial,c3,resprouting_possible,no,persister
Hypoxis hygrometrica,Hypoxis hygrometrica Labill.,Hypoxis,Hypoxidaceae,0.2,barochory,herb,perennial,c3,resprouting_possible,no,persister
Imperata cylindrica,Imperata cylindrica (L.) P.Beauv.,Imperata,Poaceae,1.5,anemochory,graminoid,perennial,c4,resprouting_possible,no,persister
Indigofera australis,Indigofera australis Willd.,Indigofera,Fabaceae,2.5,barochory,shrub,perennial,c3,resprouting_possible,no,persister
Isolepis cernua,Isolepis cernua (Vahl) Roem. & Schult.,Isolepis,Cyperaceae,0.3,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,persister
Isotoma fluviatilis,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,Isotoma,Campanulaceae,0.1,epizoochory,herb,perennial,c3,resprouting_possible,yes,extinct
Jacksonia scoparia,Jacksonia scoparia R.Br.,Jacksonia,Fabaceae,3,epizoochory,tree,perennial,c3,resprouting_possible,no,extinct
Juncus bufonius,Juncus bufonius L.,Juncus,Juncaceae,0.3,barochory,graminoid,annual,c3,fire_killed,yes,persister
Juncus continuus,Juncus continuus L.A.S.Johnson,Juncus,Juncaceae,1.15,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Juncus homalocaulis,Juncus homalocaulis F.Muell. ex Benth.,Juncus,Juncaceae,0.4,mixed,graminoid,perennial,c3,resprouting_possible,no,extinct
Juncus mollis,Juncus mollis L.A.S.Johnson,Juncus,Juncaceae,1.45,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct
Juncus planifolius,Juncus planifolius R.Br.,Juncus,Juncaceae,0.75,barochory,graminoid,perennial,c3,resprouting_possible,yes,persister
Juncus polyanthemus,Juncus polyanthemus Buchenau,Juncus,Juncaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Juncus procerus,Juncus procerus E.Mey.,Juncus,Juncaceae,2.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Juncus remotiflorus,Juncus remotiflorus L.A.S.Johnson,Juncus,Juncaceae,0.7,epizoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Juncus subsecundus,Juncus subsecundus N.A.Wakef.,Juncus,Juncaceae,1,mixed,graminoid,perennial,c3,resprouting_possible,no,persister
Juncus usitatus,Juncus usitatus L.A.S.Johnson,Juncus,Juncaceae,1.2,mixed,graminoid,perennial,c3,resprouting_possible,yes,persister
Juncus vaginatus,Juncus vaginatus R.Br.,Juncus,Juncaceae,1.7,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct
Kennedia rubicunda,Kennedia rubicunda (Schneev.) Vent.,Kennedia,Fabaceae,1.71,myrmecochory,climber,perennial,c3,resprouting_possible,no,persister
Kunzea ambigua,Kunzea ambigua (Sm.) Druce,Kunzea,Myrtaceae,35,mixed,shrub,perennial,c3,fire_killed,no,persister
Lachnagrostis aemula,Lachnagrostis aemula (R.Br.) Trin.,Lachnagrostis,Poaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Lachnagrostis filiformis,Lachnagrostis filiformis (G.Forst.) Trin.,Lachnagrostis,Poaceae,0.8,anemochory,graminoid,perennial,c3,resprouting_possible,yes,persister
Lagenophora sublyrata,Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,Lagenophora,Asteraceae,0.07,mixed,herb,perennial,c3,resprouting_possible,no,persister
Lasiopetalum parviflorum,Lasiopetalum parviflorum Rudge,Lasiopetalum,Malvaceae,1,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Laxmannia gracilis,Laxmannia gracilis R.Br.,Laxmannia,Asparagaceae,0.4,barochory,herb,perennial,c3,resprouting_possible,no,persister
Lepidosperma laterale,Lepidosperma laterale R.Br.,Lepidosperma,Cyperaceae,1,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,persister
Lepidosperma lineare,Lepidosperma lineare R.Br.,Lepidosperma,Cyperaceae,0.6,myrmecochory,graminoid,perennial,c3,resprouting_possible,no,extinct
Leptospermum polygalifolium,Leptospermum polygalifolium Salisb.,Leptospermum,Myrtaceae,10,anemochory,tree,perennial,c3,resprouting_possible,no,persister
