taxon_name,family,species_author,mesaglio_2024,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status,dispersal_coarse
Brachychiton populneus,Malvaceae,Brachychiton populneus (Schott & Endl.) R.Br.,yes,20,epizoochory,tree,perennial,c3,resprouting_possible,no,persister,biotic
Sarcopetalum harveyanum,Menispermaceae,Sarcopetalum harveyanum F.Muell.,yes,6,endozoochory,climber_woody,perennial,c3,resprouting_possible,no,persister,biotic
Eucalyptus sideroxylon,Myrtaceae,Eucalyptus sideroxylon A.Cunn. ex Woolls,no,35,anemochory,tree,perennial,c3,resprouting_possible,no,extinct,abiotic
Syncarpia glomulifera,Myrtaceae,Syncarpia glomulifera (Sm.) Nied.,no,25,anemochory,tree,perennial,c3,resprouting_possible,no,extinct,abiotic
Angophora floribunda,Myrtaceae,Angophora floribunda (Sm.) Sweet,yes,30,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus eugenioides,Myrtaceae,Eucalyptus eugenioides Sieber ex Spreng.,yes,35,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus fibrosa,Myrtaceae,Eucalyptus fibrosa F.Muell.,yes,35,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus globoidea,Myrtaceae,Eucalyptus globoidea Blakely,yes,40,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus longifolia,Myrtaceae,Eucalyptus longifolia Link,yes,35,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus moluccana,Myrtaceae,Eucalyptus moluccana Roxb.,yes,30,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus resinifera,Myrtaceae,Eucalyptus resinifera J.White,yes,45,mixed,tree,perennial,c3,resprouting_possible,no,persister,mixed
Eucalyptus amplifolia,Myrtaceae,Eucalyptus amplifolia Naudin,yes,30,barochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Callistemon salignus,Myrtaceae,Callistemon salignus (Sm.) Colvill ex Sweet,yes,15,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Eucalyptus punctata,Myrtaceae,Eucalyptus punctata DC.,yes,35,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Eucalyptus tereticornis,Myrtaceae,Eucalyptus tereticornis Sm.,yes,50,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Leptospermum polygalifolium,Myrtaceae,Leptospermum polygalifolium Salisb.,yes,10,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Leptospermum trinervium,Myrtaceae,Leptospermum trinervium (J.White) Sm.,yes,6,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca decora,Myrtaceae,Melaleuca decora (Salisb.) Britten,yes,7,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca linariifolia,Myrtaceae,Melaleuca linariifolia Sm.,yes,10,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
Melaleuca styphelioides,Myrtaceae,Melaleuca styphelioides Sm.,yes,20,anemochory,tree,perennial,c3,resprouting_possible,no,persister,abiotic
